"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Harry Potter and the prisoner of Azkaban","Harry Potter & the prisoner of Azkaban","017380632","Monograph","Language material ; Text","Volume","GBB569849","9781408865415","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","The Harry Potter series","","England","London","Bloomsbury","2015","","461 pages, illustrations, 21 cm","823.914","YKL.2016.a.3697","Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Fiction ; Potter, Harry, (Fictitious character)--Fiction ; Wizards--Fiction","Fantasy ; Fiction","English",""
"Harry Potter and the prisoner of Azkaban","Harry Potter : the complete collection ; Harry Potter and the Deathly Hallows ; Harry Potter and the Half-Blood Prince ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter and the goblet of fire ; Harry Potter and the philosopher's stone ; Novels. Selections","017863575","Monograph","Language material ; Text","Online resource (ebook)","GBB673826","9781781106464","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Rowling, J. K. [person]","","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Fantasy fiction, English ; Potter, Harry, (Fictitious character)--Juvenile fiction ; Wizards--Juvenile fiction ; Children's stories, English ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","Children's fiction","English",""
"Harry Potter and the prisoner of Azkaban","Harry Potter and the sorcerer's stone ; Music for the Fonteyn Nureyev young dancers competition 2005-2006 : official piano score ; Sheet music for the 2005/2006 competition : for piano solo ; The Fonteyn Nureyev Young Dancers Competition : sheet music for the 2005/2006 competition : for piano solo","013372965","Monograph","Notated music","Volume","","9781904386797","","Royal Academy of Dance (Great Britain)","","organisation","","Royal Academy of Dance (Great Britain) [organisation] ; Rudolf Nureyev Foundation (Liechtenstein) [organisation] ; Williams, John, 1932- [person] ; Lynne, Gillian [person]","","","England","London","Royal Academy of Dance Enterprises","2005","","11 pages of music, 30 cm","786.21556076","g.607.p. (1.)","Dance accompaniment music ; Motion picture music--Excerpts--Piano scores ; Piano music, Arranged","Excerpt ; Piano score","",""
"Harry Potter and the prisoner of Azkaban. Catalan","Harry Potter i el pres d'Azkaban","012450675","Monograph","Language material ; Text","Volume","","9788475967769","","Rowling, J. K.","","person","","Rowling, J. K. [person]","","","Spain","Barcelona","Empúries","2001","","412 pages, 21 cm","","YA.2003.a.6337","","","Catalan",""
"Harry Potter and the prisoner of Azkaban. Ukrainian","Harri Potter i v'i︠a︡zenʹ Azkabanu","013131824","Monograph","Language material ; Text","Volume","","9789667047368","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Malkovych, Ivan [person] ; Morozov, Viktor [person]","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2002","","381 pages, 21 cm","","YF.2005.a.10435","Hogwarts School of Witchcraft and Wizardry (Imaginary place)--Juvenile fiction ; Magic--Juvenile fiction ; Potter, Harry, (Fictitious character)--Juvenile fiction ; England--Juvenile fiction ; Wizards--Juvenile fiction","Children's fiction","Ukrainian",""
"Harry Potter and the sorcerer's stone : suite for orchestra","","015053134","Monograph","Notated music","Volume","","","","Williams, John","1932-","person","","Williams, John, 1932- [person]","","","","","Hal Leonard ; Warner","2001","","full score","780","VH05/9227","","","",""
"Harry Potter and the sorcerer's stone","Harry Potter and the philosopher's stone","009893251","Monograph","Language material ; Text","Volume","","9780590353403","","Rowling, J. K.","","person","","Rowling, J. K. [person]","","","United States of America","New York","A.A. Levine","1998","","vi, 309 pages, illustrations, 24 cm","","YA.2000.a.7024","Potter, Harry, (Fictitious character)--Juvenile fiction ; Magic--Juvenile fiction ; Wizards--Juvenile fiction","Children's fiction","English","Sequel: Harry Potter and the Chamber of Secrets"
"Harry Potter and the sorcerer's stone","Harry Potter and the prisoner of Azkaban ; Music for the Fonteyn Nureyev young dancers competition 2005-2006 : official piano score ; Sheet music for the 2005/2006 competition : for piano solo ; The Fonteyn Nureyev Young Dancers Competition : sheet music for the 2005/2006 competition : for piano solo","013372965","Monograph","Notated music","Volume","","9781904386797","","Royal Academy of Dance (Great Britain)","","organisation","","Royal Academy of Dance (Great Britain) [organisation] ; Rudolf Nureyev Foundation (Liechtenstein) [organisation] ; Williams, John, 1932- [person] ; Lynne, Gillian [person]","","","England","London","Royal Academy of Dance Enterprises","2005","","11 pages of music, 30 cm","786.21556076","g.607.p. (1.)","Dance accompaniment music ; Motion picture music--Excerpts--Piano scores ; Piano music, Arranged","Excerpt ; Piano score","",""
"Harry Potter and the unforgivable curses","Agents of the good, servants of evil : Harry Potter and the law of agency ; Bots and gemots : Anglo-Saxon legal references in Harry Potter ; Economic growth in the Potterian economy ; Gringotts : the role of banks in Harry Potter's wizarding world ; Harry Potter and the curse of difference ; Harry Potter and the development of moral judgment in children ; Harry Potter and the half-crazed bureaucracy ; Harry Potter and the image of God : how house-elves can help us to understand the dignity of the person ; Harry Potter as client in a lawsuit : utilizing the archetypal hero's journey as part of case strategy ; Harry Potter goes to law school ; Hogwarts, the family, and the state : forging identity and virtue in Harry Potter ; Moral choice, wizardry, law, and liberty : a classical liberal reading of the role of law in the Harry Potter series ; Professor Dumbledore's wisdom and advice ; Punishment in the Harry Potter novels ; Sirius Black : a case study in actual innocence ; The law and Harry Potter ; What role need law play in a society with magic? ; When Harry met Martin : imagination, imagery, and the color line ; Which spell : learning to think like a wizard ; Who wants to be a muggle? : the diminished legitimacy of law as magic ; magic of money and banking ; persecution of Tom Riddle : a study in human rights law","015503223","Monograph","Language material ; Text","Volume","","9781594606458","","","","","","Snyder, Franklin G. [person] ; Thomas, Jeffrey E., 1959- [person]","","","United States of America","Durham, North Carolina","Carolina Academic Press","2010","","viii, 414 pages, illustrations, 23 cm","823.914","m10/.14707","Magic in literature ; Potter, Harry, (Fictitious character) ; Wizards in literature ; Law in literature ; Rowling, J. K.--Criticism and interpretation ; Rowling, J. K.--Characters--Harry Potter","","English",""
"Harry Potter and thechamber of secrets diary.\2003","","012869801","Monograph","Language material ; Text","Volume","","9780747555766","","","","","","","","","","","Bloomsbury","2002","","","","","","","English",""
"Harry Potter as client in a lawsuit : utilizing the archetypal hero's journey as part of case strategy","Agents of the good, servants of evil : Harry Potter and the law of agency ; Bots and gemots : Anglo-Saxon legal references in Harry Potter ; Economic growth in the Potterian economy ; Gringotts : the role of banks in Harry Potter's wizarding world ; Harry Potter and the curse of difference ; Harry Potter and the development of moral judgment in children ; Harry Potter and the half-crazed bureaucracy ; Harry Potter and the image of God : how house-elves can help us to understand the dignity of the person ; Harry Potter and the unforgivable curses ; Harry Potter goes to law school ; Hogwarts, the family, and the state : forging identity and virtue in Harry Potter ; Moral choice, wizardry, law, and liberty : a classical liberal reading of the role of law in the Harry Potter series ; Professor Dumbledore's wisdom and advice ; Punishment in the Harry Potter novels ; Sirius Black : a case study in actual innocence ; The law and Harry Potter ; What role need law play in a society with magic? ; When Harry met Martin : imagination, imagery, and the color line ; Which spell : learning to think like a wizard ; Who wants to be a muggle? : the diminished legitimacy of law as magic ; magic of money and banking ; persecution of Tom Riddle : a study in human rights law","015503223","Monograph","Language material ; Text","Volume","","9781594606458","","","","","","Snyder, Franklin G. [person] ; Thomas, Jeffrey E., 1959- [person]","","","United States of America","Durham, North Carolina","Carolina Academic Press","2010","","viii, 414 pages, illustrations, 23 cm","823.914","m10/.14707","Magic in literature ; Potter, Harry, (Fictitious character) ; Wizards in literature ; Law in literature ; Rowling, J. K.--Criticism and interpretation ; Rowling, J. K.--Characters--Harry Potter","","English",""
"Harry Potter boxed set : the complete collection","","018932096","Monograph","Language material ; Text","Volume","GBB8C4035","9781408898659","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","","","England","London","Bloomsbury","2018","","7 volumes, 20 cm","823.92","","Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Fiction ; Potter, Harry, (Fictitious character)--Fiction ; Wizards--Fiction ; Fantasy fiction, English","Fiction","English","Boxed"
"Harry Potter chess : the step-by-step course","Harry Potter chess","013435372","Serial","Language material ; Text","Volume","GBA765286","","1751-0112","","","","","","","","England","Gateshead","Agostini","2007-","","volumes, colour illustrations, 29 cm + 1 ches piece","794.14","Cup.937/942","Potter, Harry, (Fictitious character)--Collectibles--Periodicals ; Chess sets--Periodicals ; Chess for children--Periodicals","Periodical","English",""
"Harry Potter chess manual","","015591444","Serial","Language material ; Text","Volume","GBB0C9309","","2044-5393","","","","","","","","England","London","Agostini","2010-2010","","volumes, colour illustrations, 28 cm + chess pieces","794.1","Cup.937/1030","Potter, Harry, (Fictitious character)--Collectibles--Periodicals ; Chess sets--Periodicals ; Chess for children--Periodicals","Periodical","English","Magazine 28 cm attached to card holder 42 x 54 cm"
"Harry Potter chess","Harry Potter chess : the step-by-step course","013435372","Serial","Language material ; Text","Volume","GBA765286","","1751-0112","","","","","","","","England","Gateshead","Agostini","2007-","","volumes, colour illustrations, 29 cm + 1 ches piece","794.14","Cup.937/942","Potter, Harry, (Fictitious character)--Collectibles--Periodicals ; Chess sets--Periodicals ; Chess for children--Periodicals","Periodical","English",""
"Harry Potter collectables","","012283123","Monograph","Language material ; Text","Volume","GBA0V9472","9781585980734","","","","","","","","","England","","Checkerbee","2000","","160 pages","823.914","","Potter, Harry, (Fictitious character)--Juvenile fiction ; Collectibles ; Rowling, J. K.--Characters","","English",""
"Harry Potter colouring book","","015324571","Monograph","Language material ; Text","Volume","","9781405904810","","British Broadcasting Corporation","","organisation","","British Broadcasting Corporation [organisation]","Harry Potter","","England","London","BBC Children's","2009","","1 volume, 30 x 21 x 0 cm","","","","","English","paperback"
"Harry Potter colouring book","","017662823","Monograph","Language material ; Still image ; Text","Volume","GBB805012","9781783705481","","","","","","","","","England","London","Studio Press","2015","","1 volume (unpaged), chiefly illustrations (black and white and colour), 28 cm","741.2","YKL.2017.b.5787","Rowling, J. K.--Characters--Pictorial works ; Coloring books","Pictorial work","English","'An Insight Editions book'"
"Harry Potter crochet wizardry : the official Harry Potter crochet pattern book","Crochet wizardry","020164234","Monograph","Language material ; Still image ; Text","Volume","GBC161080","9781911663638","","Sartori, Lee","","person","author","Sartori, Lee, author [person]","","","England","London","Pavilion","2021","","1 volume, illustrations (black and white and colour), 26 cm","746.434043","","Potter, Harry, (Fictitious character) ; Crocheting--Patterns","","English",""
"Harry Potter dan Kamar Rahasia","Hary Potter and the chamber of secrets. Indonesian","018902572","Monograph","Language material","","","9786020339184","","Rowling, J. K.","","person","","Rowling, J. K. [person]","","","","Jakarta","PT Gramedia Pustaka Utama","2017","","","","YP.2019.a.2276","","","Indonesian",""
"Harry Potter deluxe poster book : Dumbledore's Army","Dumbledore's Army ; Harry Potter and the Order of the Phoenix","013689475","Monograph","Language material ; Text","Volume","GBA718939","9781405903356","","","","","","Rowling, J. K. [person]","","","England","London","BBC Children's","2007","","93 pages, chiefly colour illustrations, 26 cm","791.4372","LC.31.a.5169","Harry Potter and the Order of the Phoenix (Motion picture)--Pictorial works ; Hogwarts School of Witchcraft and Wizardry (Imaginary place)--Juvenile films ; Potter, Harry, (Fictitious character)--Juvenile films ; Wizards--Juvenile films","Motion picture ; Pictorial work","English","Cover incorporates lenticular flip images ; Film tie-in"
"Harry Potter e l'Ordine della Fenice : romanzo","Harry Potter and the Order of the Phoenix. Italian","014753262","Monograph","Language material ; Text","Volume","GBA8B3167","9788884513441","","Rowling, J. K.","","person","","Rowling, J. K. [person]","","","Italy","Milano","Salani","2007","","807 pages, 22 cm","823.914","YK.2008.a.17560","","","Italian",""
"Harry Potter e la maledizione dell'erede : parte uno e due","","018510176","Monograph","Language material ; Text","Online resource (ebook)","GBB7G6257","9781781105450","","Thorne, Jack","","person","author","Tiffany, John, 1971- [person] ; Thorne, Jack, author [person] ; Rowling, J. K. [person]","","","England","London","Pottermore from J.K. Rowling","2016","Edizione speciale scriptbook","1 online resource","822.92","","Fantasy drama ; Wizards--Drama ; Potter, Harry, (Fictitious character)--Drama","Drama","Italian","Translated from the English"
"Harry Potter e la pietra filosofale : romanzo","Harry Potter and the philosopher's stone. Italian","014752993","Monograph","Language material ; Text","Volume","","9788877827029","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Riglietti, Serena [person]","","","Italy","Milano","A. Salani","2008","1st edition","293 pages, illustrations, 21 cm","823.914","YK.2011.a.33194","Magic--Juvenile fiction ; England--Fiction ; Potter, Harry, (Fictitious character)--Juvenile fiction ; Italian language materials ; Magic--Fiction ; Wizards--Juvenile fiction ; Schools--Fiction ; Wizards--Fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","Children's fiction ; Fantasy ; Fiction","Italian","Sequel: Harry Potter e la Camera dei Segreti ; Translated from the English"
"Harry Potter en de Orde van de Feniks","Harry Potter ; Harry Potter and the Deathly Hallows ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter en de geheime kamer ; Harry Potter en de relieken van de dood ; Novels. Selections. Dutch","018300629","Monograph","Language material ; Text","Volume","","","","Rowling, J. K.","","person","author","Buddingh', Wiebe, 1957-, translator [person] ; Rowling, J. K., author [person] ; Rowling, J. K. [person]","","","Netherlands","Amsterdam","Harmonie","2016","Pocket 2e druk","volumes, 18 cm","","YF.2017.a.11389","Potter, Harry, (Fictitious character)--Juvenile fiction ; Wizards--Juvenile fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","Children's fiction ; Fantasy","Dutch","'Pottermore.' ; Translated from the English"
"Harry Potter en de geheime kamer","Harry Potter ; Harry Potter and the Deathly Hallows ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter en de Orde van de Feniks ; Harry Potter en de relieken van de dood ; Novels. Selections. Dutch","018300629","Monograph","Language material ; Text","Volume","","","","Rowling, J. K.","","person","author","Buddingh', Wiebe, 1957-, translator [person] ; Rowling, J. K., author [person] ; Rowling, J. K. [person]","","","Netherlands","Amsterdam","Harmonie","2016","Pocket 2e druk","volumes, 18 cm","","YF.2017.a.11389","Potter, Harry, (Fictitious character)--Juvenile fiction ; Wizards--Juvenile fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","Children's fiction ; Fantasy","Dutch","'Pottermore.' ; Translated from the English"
"Harry Potter en de relieken van de dood","Harry Potter ; Harry Potter and the Deathly Hallows ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter en de Orde van de Feniks ; Harry Potter en de geheime kamer ; Novels. Selections. Dutch","018300629","Monograph","Language material ; Text","Volume","","","","Rowling, J. K.","","person","author","Buddingh', Wiebe, 1957-, translator [person] ; Rowling, J. K., author [person] ; Rowling, J. K. [person]","","","Netherlands","Amsterdam","Harmonie","2016","Pocket 2e druk","volumes, 18 cm","","YF.2017.a.11389","Potter, Harry, (Fictitious character)--Juvenile fiction ; Wizards--Juvenile fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","Children's fiction ; Fantasy","Dutch","'Pottermore.' ; Translated from the English"
"Harry Potter en de stien fan 'e wizen","Harry Potter and the philosopher's stone. Dutch","018300630","Monograph","Language material ; Text","Volume","","9789056151553","","Rowling, J. K.","","person","author","Bilker, Jetske, 1960- [person] ; Rowling, J. K., author [person]","","","Netherlands","Ljouwert","Bornmeer","2007","","222 pages, 22 cm","","YF.2017.a.11390","","","Dutch","Translated from the English"
"Harry Potter en die towenaar se steen","Harry Potter and the philosopher's stone. Afrikaans","012935132","Monograph","Language material ; Text","Volume","","9780798140232","","Rowling, J. K.","","person","","Rowling, J. K. [person]","","","South Africa","Kaapstad","Human & Rousseau","2002","","195 pages, 22 cm","","YF.2004.a.15009","","","Afrikaans",""
"Harry Potter et camera secretorum","Harry Potter and the chamber of secrets = Harry Potter et camera secretorum","013601910","Monograph","Language material ; Text","Volume","GBA696366","9780747588771","","Rowling, J. K.","","person","","Rowling, J. K. [person]","","","England","London","Bloomsbury","2007","Latin edition","1 volume","823.914","","Potter, Harry, (Fictitious character)--Juvenile fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary place)--Juvenile fiction ; Wizards--Juvenile fiction","Children's fiction ; Fantasy","English ; Latin","Originally published: 1998"
"Harry Potter festivities and feasts","","020299086","Monograph","Language material ; Still image ; Text","Volume","GBC1D6367","9781789098785","","Carroll, Jennifer","","person","author","Carroll, Jennifer, author [person]","","","England","London","Titan","2021","","1 volume, illustrations, 26 cm","793.2","","Potter, Harry, (Fictitious character) ; Entertaining ; Handicraft","","English",""
"Harry Potter figurine collection with poster book","Harry Potter","014636264","Serial","Language material ; Text","Volume","GBA978235","","1757-9791","","","","","","","","England","London","Agostini","2008-2008","","3 volumes, colour illustrations, colour portraits, 29 cm + toy","791.4375","Cup.937/1011","Potter, Harry, (Fictitious character)--Collectibles--Periodicals ; Potter, Harry, (Fictitious character)--Periodicals ; Potter, Harry, (Fictitious character)--Pictorial works","Periodical ; Pictorial work","English","'Moments from the films' ; Magazine of removable posters 29 cm, in card holder 33 x 47 cm"
"Harry Potter film vault. Volume 1. Forest, sky & lake dwelling creatures","Forest, sky & lake dwelling creatures","019454751","Monograph","Cartographic image ; Language material ; Still image ; Text","Sheet ; Volume","GBB9B7653","9781789092639","","","","","","","","","England","London","Titan","2019","","1 volume, illustrations, 28 cm + 1 poster","791.4372","","Harry Potter films","","English",""
"Harry Potter film vault. Volume 10. Wizarding homes and villages","Wizarding homes and villages","019810826","Monograph","Cartographic image ; Language material ; Still image ; Text","Sheet ; Volume","GBC071943","9781789094886","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","","","England","London","Titan","2020","","1 volume, illustrations, 28 cm + 1 poster","791.4372","","Harry Potter films","","English",""
"Harry Potter film vault. Volume 2. Diagon Alley, King's Cross & the Ministry of Magic","Diagon Alley, King's Cross & the Ministry of Magic","019454752","Monograph","Cartographic image ; Language material ; Still image ; Text","Sheet ; Volume","GBB9B7654","9781789092646","","","","","","","","","England","London","Titan","2019","","1 volume, illustrations, 28 cm + 1 poster","791.4372","","Harry Potter films","","English",""
"Harry Potter film wizardry : from the creative team behind the celebrated movie series","","015583588","Monograph","Language material ; Text","Volume","GBB075438","9780593066485","","Sibley, Brian","","person","","Sibley, Brian [person]","","","England","London","Bantam","2010","","159 pages (16 folded), illustrations (chiefly colour), portraits (chiefly colour), 29 cm","791.4375","LC.31.b.9249","Harry Potter films","","English","'An Insight Editions book' ; Contains ephemera ; Film tie-in"
"Harry Potter film wizardry","","016242086","Monograph","Language material ; Still image ; Text","Volume","GBB3B4891","9780593071717","","Sibley, Brian","","person","","Sibley, Brian [person]","","","England","London","Bantam Press","2012","Revised and expanded edition","163 pages, illustrations (black and white and colour), 29 cm + ephemera","791.4375","RF.2014.b.8","Harry Potter films","","English","Contains ephemera ; Film tie-in"
"Harry Potter goes to law school","Agents of the good, servants of evil : Harry Potter and the law of agency ; Bots and gemots : Anglo-Saxon legal references in Harry Potter ; Economic growth in the Potterian economy ; Gringotts : the role of banks in Harry Potter's wizarding world ; Harry Potter and the curse of difference ; Harry Potter and the development of moral judgment in children ; Harry Potter and the half-crazed bureaucracy ; Harry Potter and the image of God : how house-elves can help us to understand the dignity of the person ; Harry Potter and the unforgivable curses ; Harry Potter as client in a lawsuit : utilizing the archetypal hero's journey as part of case strategy ; Hogwarts, the family, and the state : forging identity and virtue in Harry Potter ; Moral choice, wizardry, law, and liberty : a classical liberal reading of the role of law in the Harry Potter series ; Professor Dumbledore's wisdom and advice ; Punishment in the Harry Potter novels ; Sirius Black : a case study in actual innocence ; The law and Harry Potter ; What role need law play in a society with magic? ; When Harry met Martin : imagination, imagery, and the color line ; Which spell : learning to think like a wizard ; Who wants to be a muggle? : the diminished legitimacy of law as magic ; magic of money and banking ; persecution of Tom Riddle : a study in human rights law","015503223","Monograph","Language material ; Text","Volume","","9781594606458","","","","","","Snyder, Franklin G. [person] ; Thomas, Jeffrey E., 1959- [person]","","","United States of America","Durham, North Carolina","Carolina Academic Press","2010","","viii, 414 pages, illustrations, 23 cm","823.914","m10/.14707","Magic in literature ; Potter, Harry, (Fictitious character) ; Wizards in literature ; Law in literature ; Rowling, J. K.--Criticism and interpretation ; Rowling, J. K.--Characters--Harry Potter","","English",""
"Harry Potter golden snitch sticker kit","","016623698","Monograph","Language material ; Still image ; Text","Volume","","9780762428212","","","","","","","","","England","London","Running","2006","","8 unnumbered pages, illustrations, 8 cm","","CLE.2014.a.100","","","English","Box containing golden snitch toy and sticker book"
"Harry Potter holiday magic","Holiday magic : official Advent calendar : 25 days of surprises, with mini books, mementos, and more!","020487261","Monograph","Language material ; Still image ; Text ; Three-dimensional form","Card ; Volume","GBC2G9984","9781178098686","","","","","","","","","England","London","Titan","2021","","1 volume (unpaged), colour illustrations, 37 cm","791.4375","LC.31.b.23644","Toy and moveable books--Specimens ; Advent calendars--Specimens ; Harry Potter films--Pictorial works ; Potter, Harry, (Fictitious character)--Pictorial works","Pictorial work ; Specimen","English","'More than 40 surprises ... From fun mini booklets to Hogwarts house-inspired coasters, a keychain, stationery, and much more ... to delight fans of all ages!' -- Back cover ; 'Wizarding world' ; At head of title: 'From the films of Harry Potter'"
"Harry Potter houses of Hogwarts","","018131918","Monograph","Language material ; Still image ; Text","Volume","GBB6J8110","9781407173191","","","","","","","","","England","London","Scholastic","2017","","1 volume, illustrations","791.4375","","Harry Potter films--Juvenile literature ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile literature","Children's literature","English","Film tie-in"
"Harry Potter i el calze de foc","Harry Potter and the goblet of fire. Catalan","012450679","Monograph","Language material ; Text","Volume","","9788475967905","","Rowling, J. K.","","person","","Rowling, J. K. [person]","","","Spain","Barcelona","Empúries","2001","","696 pages, 21 cm","","YA.2003.a.6335","","","Catalan",""
"Harry Potter i el pres d'Azkaban","Harry Potter and the prisoner of Azkaban. Catalan","012450675","Monograph","Language material ; Text","Volume","","9788475967769","","Rowling, J. K.","","person","","Rowling, J. K. [person]","","","Spain","Barcelona","Empúries","2001","","412 pages, 21 cm","","YA.2003.a.6337","","","Catalan",""
"Harry Potter i la cambra secreta","Harry Potter and the chamber of secrets. Catalan","012450677","Monograph","Language material ; Text","Volume","","9788475967752","","Rowling, J. K.","","person","","Rowling, J. K. [person]","","","Spain","Barcelona","Empúries","2001","","332 pages, 21 cm","","YA.2003.a.6323","","","Catalan",""
"Harry Potter i la pedra filosofal","Harry Potter and the philosopher's stone. Catalan","012450678","Monograph","Language material ; Text","Volume","","9788475967745","","Rowling, J. K.","","person","","Rowling, J. K. [person]","","","Spain","Barcelona","Empúries","2001","","299 pages, 21 cm","","YA.2003.a.6333","","","Catalan",""
"Harry Potter i okultyzm : 'magiczna' wyobraźnia czy realistyczna magia?","'Magiczna' wyobraźnia czy realistyczna magia?","013523758","Monograph","Language material ; Text","Volume","","9788389862525 ; 9788390927619","","Posacki, Aleksander","","person","","Posacki, Aleksander [person]","","","Poland","Gdańsk","Arka Noego ; Fenomen","2006","","219 pages, 20 cm","","YF.2006.a.30535","Rowling, J. K.--Criticism and interpretation ; Potter, Harry, (Fictitious character)--Religious aspects ; Rowling, J. K.--Characters--Harry Potter ; Magic in literature","","Polish",""
"Harry Potter im Unterricht","","012463763","Monograph","Language material ; Text","Volume","","9783140223874 ; 9783506223876","","Dierschke, Susanne","","person","","Diekhans, Johannes [person] ; Dierschke, Susanne [person] ; Beyersdörfer, Gabriele [person]","Einfach Deutsch. Unterrichtsmodell","","Germany","Paderborn","Schöningh","2002","","109 pages, illustrations (some colour), 1 portrait, 30 cm","","YA.2003.b.3316","Rowling, J. K","","English ; German","Best.-Nr. 22387 9"
"Harry Potter knitting magic : more patterns from Hogwarts and beyond","","020266010","Monograph","Language material ; Still image ; Text","Volume","GBC1B5148","9781911682462","","Gray, Tanis","","person","author","Gray, Tanis, author [person]","","","England","London","Pavilion","2021","","1 volume, illustrations, 26 cm","746.432043","","Knitting--Patterns ; Harry Potter films","","English",""
"Harry Potter knitting magic : the official Harry Potter knitting pattern book","","019601892","Monograph","Language material ; Still image ; Text","Volume","GBB9I1368","9781911641926","","Gray, Tanis","","person","author","Gray, Tanis, author [person]","","","England","London","Pavilion","2020","","1 volume, illustrations, 26 cm","746.432041","","Knitting--Patterns ; Harry Potter films","","English",""
"Harry Potter no. 4","","007716562","Monograph","Language material ; Text","Volume","GBA0X9316","9780747546245","","Rowling, J. K.","","person","","Rowling, J. K. [person]","","","England","London","Bloomsbury","2000","","320 pages, 20 cm","823.914","","Potter, Harry, (Fictitious character)--Juvenile fiction ; Wizards--Juvenile fiction","Children's fiction","English",""
"Harry Potter on Location : An unofficial review and guide to the locations used for the entire film series, fully updated including all 3 Fantastic Beasts Films","","020813285","Monograph","Language material","","","9781901091861","","P.Sperati, J.","","person","author","P.Sperati, J., author [person]","","","England","","Ingram ; Irregular Special Press","2022","","256 pages, 185 black and white plus 6 maps, 21 x 15 x 1 cm","","","","","English","Replaces: 9781901091403 ; paperback / softback"
"Harry Potter ou l'anti-Peter Pan : pour en finir avec la magie de l'enfance","","014343148","Monograph","Language material ; Text","Volume","","9782213634555","","Cani, Isabelle","","person","","Cani, Isabelle [person]","","","France","Paris","Fayard","2007","","321 pages, 22 cm","823.914","YF.2009.a.9307","Childhood in literature ; Magic--Psychological aspects ; Magic in literature ; Potter, Harry, (Fictitious character) ; Children's stories--Psychological aspects ; Children's stories, English--History and criticism ; Peter Pan, (Fictitious character) ; Rowling, J. K.--Criticism and interpretation","","French",""
"Harry Potter paperback boxed set","","013507712","Monograph","Language material ; Text","Volume","GBA660759","9780747586678","","Rowling, J. K.","","person","","Rowling, J. K. [person]","","","England","London","Bloomsbury","2006","","6 volumes, 20 cm","823.914","","Potter, Harry, (Fictitious character)--Juvenile fiction ; Fantasy fiction, English ; Children's stories, English ; Wizards--Juvenile fiction","Children's fiction","English",""
"Harry Potter poster annual","","014496373","Serial","Language material ; Text","Volume","GBA807575","","","","","","","","","","England","London","Egmont","","","volumes, chiefly colour illustrations, 30 cm","791.4375","ZK.9.b.26048","Potter, Harry, (Fictitious character)--Pictorial works","Pictorial work","English","Description based on: 2008 edition"
"Harry Potter power : free your inner power","","015893890","Monograph","Language material ; Text","Volume","GBC037908","9781921479311","","Sykley, Julie-Anne","","person","author","Sykley, Julie-Anne, author [person]","","","Australia","Brisbane","Glass House","2010","","x, 258 pages, black and white illustrations, 23 cm","152.4","YD.2011.a.7933 ; YKL.2020.a.5318","Anger ; Depression, Mental--Popular works ; Grief ; Anxiety--Popular works","","English",""
"Harry Potter que (e) r : eine Filmsaga im Spannungsfeld von Queer Reading, Slash-Fandom und Fantasyfilmgenre","Harry Potter quer","017808290","Monograph","Language material ; Text","Volume","","9783837631371","","Cuntz-Leng, Vera","1979-","person","author","Cuntz-Leng, Vera, 1979-, author [person]","","","Germany","Bielefeld","Transcript","2015","","485 pages, 60 illustrations (some colour), 23 cm","","YF.2016.a.10946","Fan fiction--History and criticism ; Potter, Harry, (Fictitious character) ; Characters and characteristics ; Queer theory ; Homosexuality in motion pictures ; Harry Potter films ; Rowling, J. K.--Characters ; Harry Potter films--History and criticism","Criticsm and interpretation","German","Additional physical form: 9783839431375 ; Originally presented as the author's dissertation--Universität Tübingen, 2014"
