"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Characters and characteristics","general term","018621722","Monograph","Language material ; Text","Online resource","GBB7N9688","9781849894838","","Goldstein, Jack","","person","author ; writer","Goldstein, Jack, author ; writer [person]","Harry Potter : the ultimate quiz book : unofficial & unauthorised","","","","England","Luton","Andrews","2014","Third digital edition","1 online resource","823.914","ELD.DS.229221","Children's literature","English",""
"Characters and characteristics","general term","020557569","Monograph","Language material ; Text","Online resource","GBC275337","9780007328567","","Malone, Aubrey","","person","","Malone, Aubrey [person]","An A-Z of Harry Potter : everything you always wanted to know about the boy wizard and his creator","","","","England","London","HarperCollins","2009","","1 online resource, illustrations","823.914","ELD.DS.684311","Dictionary","English","Originally published: Friday books, 2007"
"Characters and characteristics","general term","020741362","Monograph","Language material ; Text","Online resource","GBC2J4571","9780241443057","","Dowsett, Elizabeth","","person","author","Peet, Rosie, author [person] ; Dowsett, Elizabeth, author [person] ; March, Julia, author [person]","The magical guide to the wizarding world","","LEGO Harry Potter","","England ; United Kingdom","London","Dorling Kindersley","2019","","1 online resource (128 pages)","791.4375 ; 823.914","ELD.DS.711716","Children's literature","English",""
"Charms--Juvenile literature","general term","019428232","Monograph","Language material ; Still image ; Text","Volume","GBB9A1774","9781526613189","","","","","","","Spells & charms : a movie scrapbook","","Harry Potter","","England","London","Bloomsbury","2019","","47 pages, illustrations (black and white and colour), 21 cm","791.4375","YKL.2020.a.6362","Children's literature","English","'An Insight Editions book' ; At foot of title: Wizarding World ; Contains ephemera ; Includes stickers, cards and spells attached in the book"
"Chess for children--Periodicals","general term","013435372","Serial","Language material ; Text","Volume","GBA765286","","1751-0112","","","","","","Harry Potter chess : the step-by-step course","Harry Potter chess","","","England","Gateshead","Agostini","2007-","","volumes, colour illustrations, 29 cm + 1 ches piece","794.14","Cup.937/942","Periodical","English",""
"Chess for children--Periodicals","general term","015591444","Serial","Language material ; Text","Volume","GBB0C9309","","2044-5393","","","","","","Harry Potter chess manual","","","","England","London","Agostini","2010-2010","","volumes, colour illustrations, 28 cm + chess pieces","794.1","Cup.937/1030","Periodical","English","Magazine 28 cm attached to card holder 42 x 54 cm"
"Chess sets--Periodicals","general term","013435372","Serial","Language material ; Text","Volume","GBA765286","","1751-0112","","","","","","Harry Potter chess : the step-by-step course","Harry Potter chess","","","England","Gateshead","Agostini","2007-","","volumes, colour illustrations, 29 cm + 1 ches piece","794.14","Cup.937/942","Periodical","English",""
"Chess sets--Periodicals","general term","015591444","Serial","Language material ; Text","Volume","GBB0C9309","","2044-5393","","","","","","Harry Potter chess manual","","","","England","London","Agostini","2010-2010","","volumes, colour illustrations, 28 cm + chess pieces","794.1","Cup.937/1030","Periodical","English","Magazine 28 cm attached to card holder 42 x 54 cm"
"Child & developmental psychology","general term","018912720","Monograph","Language material ; Text","Online resource","GBB8B8344","9781137558862 ; 9781137558879","","Glynn, Stephen","","person","author","Glynn, Stephen, author [person]","The British school film : from Tom Brown to Harry Potter : representations of secondary education in British cinema","","","","England","London","Palgrave Macmillan","2016","","1 online resource (ix, 269 pages), illustrations","791.436557","ELD.DS.302688","","English",""
"Childhood in literature","general term","014343148","Monograph","Language material ; Text","Volume","","9782213634555","","Cani, Isabelle","","person","","Cani, Isabelle [person]","Harry Potter ou l'anti-Peter Pan : pour en finir avec la magie de l'enfance","","","","France","Paris","Fayard","2007","","321 pages, 22 cm","823.914","YF.2009.a.9307","","French",""
"Children's & teenage literature studies","general term","017853947","Monograph","Language material ; Text","Online resource (ebk)","GBB6F6879","9781306309295 ; 9781443855235","","","","","","Bell, Christopher E., 1974-, editor [person]","Legilimens! : perspectives in Harry Potter studies","","","","United Kingdom","Newcastle upon Tyne","Cambridge Scholars","2013","","1 online resource (viii, 158 pages)","823.9","ELD.DS.61123","Criticsm and interpretation","English",""
"Children's & teenage literature studies","general term","019900562","Monograph","Language material ; Text","Online resource","GBC103202","9781527558243","","Ayyıldız, Nilay Erdem","","person","author","Ayyıldız, Nilay Erdem, author [person]","The exercise of biopower through race and class in the Harry Potter series","","","","England","Newcastle upon Tyne","Cambridge Scholars","2020","","1 online resource (vi, 165 pages)","823.92","ELD.DS.543825","Criticsm and interpretation","English",""
"Children's Literature","general term","017762393","Monograph","Language material ; Text","Online resource","GBB6H9569","9781137295828","","","","","","Huey, Peggy J., 1951- [person] ; Hallett, Cynthia J., 1947- [person]","J.K. Rowling : Harry Potter","","New casebooks","","England ; United Kingdom","Basingstoke","Palgrave Macmillan","2012","","1 online resource (224 pages)","823.914","ELD.DS.49415","","English",""
"Children's literature studies: general","general term","017762393","Monograph","Language material ; Text","Online resource","GBB6H9569","9781137295828","","","","","","Huey, Peggy J., 1951- [person] ; Hallett, Cynthia J., 1947- [person]","J.K. Rowling : Harry Potter","","New casebooks","","England ; United Kingdom","Basingstoke","Palgrave Macmillan","2012","","1 online resource (224 pages)","823.914","ELD.DS.49415","","English",""
"Children's literature","general term","013467911","Monograph","Language material ; Text","Volume","","9782227474529","","Mijolla-Mellor, Sophie de","","person","","Mijolla-Mellor, Sophie de [person]","L'enfant lecteur : de la Comtesse de Ségur à Harry Potter, les raisons du succès","","","","France","Paris","Bayard","2006","","189 pages, 21 cm","","YF.2007.a.24672","","French",""
"Children's literature","general term","018515347","Monograph","Language material ; Text","Online resource","GBB7H4927","9781446434475","","Lurie, Alison","","person","","Lurie, Alison [person]","Boys and girls forever : children's classics from Cinderella to Harry Potter","","","","England ; United Kingdom","London","Vintage Digital","2011","","1 online resource (256 pages)","809.89282","ELD.DS.187375","Criticsm and interpretation","English",""
"Children's literature, American--History and criticism","general term","012617444","Monograph","Language material ; Text","Volume","GBA117617","9780415928113","","Zipes, Jack","1937-","person","","Zipes, Jack, 1937- [person]","Sticks and stones : the troublesome success of children's literature from Slovenly Peter to Harry Potter","","","","England ; United States of America","London ; New York","Routledge","2000","","xiv, 213 pages, 24 cm","809.8928209045","YC.2001.a.6165 ; m01/13261","","English",""
"Children's literature, English","general term","012689218","Monograph","Language material ; Text","Volume","GBA2X8534","9781855143425","","Eccleshare, Julia","","person","","Hove Museum and Art Gallery [organisation] ; Durham Art Gallery (Durham, England) [organisation] ; National Portrait Gallery (Great Britain) [organisation] ; Eccleshare, Julia [person]","Beatrix Potter to Harry Potter : portraits of children's writers","","","","England","London","National Portrait Gallery","2002","","136 pages, illustrations (some colour), portraits (some colour), 22 cm","778.92","YC.2002.a.14589","Biography ; Exhibition","English","Catalogue of an exhibition held at the National portraits Gallery, London, 15 May - 26 August 2002, Durham Art Gallery, 14 December 2002 - 26 January 2003 and Hove Museum and Art Gallery, 10 April - 10 June 2003"
"Children's literature, English","general term","017374702","Monograph","Language material ; Text","Volume","","9783826056444","","Woiwod, Uta","","person","author","Woiwod, Uta, author [person]","Die literarische Kommunikationsspirale : strukturelle Wechselwirkungen zwischen literarischem Text und Rezeption in der angelsächsischen Kinder- und Jugendliteratur des späten 20./frühen 21. Jahrhunderts","","Epistemata. Reihe Literaturwissenschaft","Band 829, 2015 [Epistemata. Reihe Literaturwissenschaft]","Germany","Würzburg","Königshausen & Neumann","2015","","556 pages, 15 black and white illustrations, 24 cm","","X.0950/333 (829)","","English ; German","Originally presented as the author's thesis (doctoral) --Universität Köln"
"Children's literature, English--Germany--History and criticism","general term","013568902","Monograph","Language material ; Text","Volume","","9783939367000","","Günther, Wolfgang","","person","","Günther, Wolfgang [person]","Wege ins Wunderland : von Peter Pan bis Harry Potter","","","","Germany","Frankfurt","M. Gold","2006","","384 pages, 21 cm","","YF.2007.a.37571","","German",""
"Children's literature, English--History and criticism","general term","013394341","Monograph","Language material ; Text","Volume","","9788324204687","","Kowalewska, Dagmara","","person","","Kowalewska, Dagmara [person]","Harry i czary-mary, czyli, O wartościach edukacyjnych w cyklu powieści 'Harry Potter' J.K. Rowling","Harry i czary-mary ; O wartościach edukacyjnych w cyklu powieści 'Harry Potter' J.K. Rowling","","","Poland","Kraków","TAiWPN Universitas","2005","","422 pages, 24 cm","","YF.2006.a.12646","","Polish","Harry i czary-mary ; O wartościach edukacyjnych w cyklu powieści 'Harry Potter' J.K. Rowling"
"Children's literature, English--History and criticism","general term","014525019","Monograph","Language material ; Text","Volume","GBA820244","9781571431745","","Ark, Steve Vander","","person","","Ark, Steve Vander [person]","The lexicon : an unauthorized guide to Harry Potter fiction and related materials","","","","United States of America","Hove ; Oakland, California","Roundhouse","2009","","1 volume, 23 cm","823.914","","","English",""
